area1_index,area2_index,area1,area2
12,112,Visceral area,Periaqueductal gray 
6,97,Primary somatosensory area mouth,Ventral premammillary nucleus 
94,127,Mammillary body ,Posterodorsal tegmental nucleus 
64,71,Basolateral amygdalar nucleus ,Lateral septal nucleus 
13,107,Dorsal auditory area,Substantia nigra reticular part 
49,51,Field CA3 ,Fasciola cinerea 
49,83,Field CA3 ,Lateral group of the dorsal thalamus 
14,106,Primary auditory area ,Nucleus sagulum 
85,130,Medial group of the dorsal thalamus ,Pontine reticular nucleus caudal part 
8,32,Primary somatosensory area trunk,Retrosplenial area ventral part 
