area1_index,area2_index,area1,area2
6,105,Primary somatosensory area mouth,Nucleus of the brachium of the inferior colliculus 
91,119,Periventricular zone ,Substantia nigra compact part 
94,108,Mammillary body ,Ventral tegmental area 
87,106,Intralaminar nuclei of the dorsal thalamus ,Nucleus sagulum 
41,122,Dorsal peduncular area ,Nucleus of the lateral lemniscus 
3,92,Primary somatosensory area nose,Periventricular region 
14,110,Primary auditory area ,Midbrain reticular nucleus 
13,134,Dorsal auditory area,Peritrigeminal zone 
12,46,Visceral area,Postpiriform transition area 
26,119,Prelimbic area ,Substantia nigra compact part 
